"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,5,17,NRMN,67.19,55.36
2016,5,18,NRMN,63.45,50.68
2016,5,19,NRMN,60.73,50.85
2016,5,20,NRMN,74.80,56.03
2016,5,21,NRMN,81.34,62.38
2016,5,22,NRMN,82.18,65.98
2016,5,23,NRMN,77.27,64.08
2016,5,24,NRMN,86.38,70.59
2016,5,25,NRMN,87.39,74.89
2016,5,26,NRMN,84.72,63.05
2016,5,27,NRMN,83.73,63.57
2016,5,28,NRMN,82.09,62.26
2016,5,29,NRMN,87.17,67.53
2016,5,30,NRMN,81.43,65.17
2016,5,31,NRMN,81.43,66.79
2016,6,1,NRMN,73.35,66.09
2016,6,2,NRMN,76.55,66.69
2016,6,3,NRMN,78.60,66.02
2016,6,4,NRMN,85.48,62.11
2016,6,5,NRMN,83.37,57.18
2016,6,6,NRMN,85.15,56.52
2016,6,7,NRMN,89.26,60.08
2016,6,8,NRMN,89.87,66.69
2016,6,9,NRMN,88.27,68.36
2016,6,10,NRMN,90.45,71.91
2016,6,11,NRMN,91.02,71.38
2016,6,12,NRMN,80.87,68.54
2016,6,13,NRMN,83.32,68.85
2016,6,14,NRMN,89.65,69.26
2016,6,15,NRMN,93.18,75.72
2016,6,16,NRMN,93.63,75.58
2016,6,17,NRMN,95.04,74.03
2016,6,18,NRMN,91.22,72.28
2016,6,19,NRMN,89.15,70.74
2016,6,20,NRMN,92.59,72.52
2016,6,21,NRMN,93.43,71.26
2016,6,22,NRMN,93.27,76.32
2016,6,23,NRMN,93.42,75.87
2016,6,24,NRMN,89.56,74.89
2016,6,25,NRMN,91.67,73.76
2016,6,26,NRMN,92.01,70.45
2016,6,27,NRMN,89.55,68.94
2016,6,28,NRMN,90.63,72.41
2016,6,29,NRMN,89.80,66.09
2016,6,30,NRMN,91.06,71.38
2016,7,1,NRMN,86.88,74.59
2016,7,2,NRMN,93.07,73.72
2016,7,3,NRMN,92.98,72.86
2016,7,4,NRMN,90.79,71.26
2016,7,5,NRMN,96.22,75.87
2016,7,6,NRMN,94.42,79.20
2016,7,7,NRMN,93.67,79.30
2016,7,8,NRMN,89.62,72.09
2016,7,9,NRMN,88.97,71.74
2016,7,10,NRMN,92.41,69.06
2016,7,11,NRMN,91.87,76.35
2016,7,12,NRMN,92.14,76.55
2016,7,13,NRMN,93.02,77.40
2016,7,14,NRMN,90.28,71.82
2016,7,15,NRMN,85.64,66.24
2016,7,16,NRMN,89.87,71.29
2016,7,17,NRMN,92.71,76.26
2016,7,18,NRMN,93.67,73.58
2016,7,19,NRMN,93.07,74.25
2016,7,20,NRMN,93.78,76.23
2016,7,21,NRMN,95.29,75.00
2016,7,22,NRMN,96.48,74.48
2016,7,23,NRMN,96.76,75.52
2016,7,24,NRMN,97.18,75.60
2016,7,25,NRMN,94.32,72.68
2016,7,26,NRMN,89.17,72.19
2016,7,27,NRMN,91.89,72.88
2016,7,28,NRMN,92.43,72.03
2016,7,29,NRMN,86.11,68.27
2016,7,30,NRMN,90.28,72.95
2016,7,31,NRMN,94.42,75.42
2016,8,1,NRMN,96.06,77.14
2016,8,2,NRMN,96.98,74.79
2016,8,3,NRMN,99.25,74.44
2016,8,4,NRMN,94.77,78.12
2016,8,5,NRMN,97.14,75.00
2016,8,6,NRMN,94.14,77.49
2016,8,7,NRMN,99.09,74.64
2016,8,8,NRMN,94.80,75.33
2016,8,9,NRMN,95.16,75.04
2016,8,10,NRMN,97.75,77.81
2016,8,11,NRMN,100.47,78.62
2016,8,12,NRMN,90.66,78.22
2016,8,13,NRMN,90.09,71.15
2016,8,14,NRMN,87.21,67.59
2016,8,15,NRMN,88.11,70.20
2016,8,16,NRMN,89.91,64.92
2016,8,17,NRMN,90.68,69.19
2016,8,18,NRMN,87.69,70.57
2016,8,19,NRMN,85.73,69.44
2016,8,20,NRMN,84.78,67.06
2016,8,21,NRMN,83.89,57.51
2016,8,22,NRMN,88.56,56.10
2016,8,23,NRMN,90.01,73.87
2016,8,24,NRMN,94.82,75.88
2016,8,25,NRMN,94.26,72.72
2016,8,26,NRMN,91.90,68.50
2016,8,27,NRMN,92.23,70.00
2016,8,28,NRMN,92.53,69.24
2016,8,29,NRMN,91.17,68.70
2016,8,30,NRMN,93.42,69.67
2016,8,31,NRMN,90.34,69.71
2016,9,1,NRMN,85.66,69.40
2016,9,2,NRMN,83.25,67.26
2016,9,3,NRMN,87.84,64.51
2016,9,4,NRMN,90.63,68.23
2016,9,5,NRMN,94.32,72.46
2016,9,6,NRMN,93.60,74.37
2016,9,7,NRMN,94.15,76.28
2016,9,8,NRMN,95.59,77.83
2016,9,9,NRMN,93.40,67.12
2016,9,10,NRMN,79.72,56.86
2016,9,11,NRMN,85.53,52.50
2016,9,12,NRMN,90.14,63.55
2016,9,13,NRMN,92.55,69.67
2016,9,14,NRMN,82.72,65.10
2016,9,15,NRMN,83.21,66.11
2016,9,16,NRMN,85.33,67.42
2016,9,17,NRMN,87.01,63.43
2016,9,18,NRMN,88.09,63.19
2016,9,19,NRMN,94.91,71.60
2016,9,20,NRMN,93.83,73.72
2016,9,21,NRMN,88.86,73.17
2016,9,22,NRMN,88.59,68.20
2016,9,23,NRMN,88.65,69.24
2016,9,24,NRMN,86.81,68.74
2016,9,25,NRMN,77.27,63.88
2016,9,26,NRMN,76.01,54.30
2016,9,27,NRMN,80.02,50.50
2016,9,28,NRMN,86.59,57.45
2016,9,29,NRMN,72.57,51.30
2016,9,30,NRMN,75.54,47.62
2016,10,1,NRMN,78.13,56.55
2016,10,2,NRMN,82.06,58.32
2016,10,3,NRMN,81.59,59.95
2016,10,4,NRMN,82.00,66.78
2016,10,5,NRMN,88.77,63.88
2016,10,6,NRMN,84.99,56.50
2016,10,7,NRMN,67.77,48.94
2016,10,8,NRMN,73.35,42.55
2016,10,9,NRMN,75.09,51.01
2016,10,10,NRMN,76.59,56.03
2016,10,11,NRMN,83.86,57.81
2016,10,12,NRMN,75.33,54.14
2016,10,13,NRMN,55.65,49.48
2016,10,14,NRMN,74.79,53.24
2016,10,15,NRMN,84.25,64.04
2016,10,16,NRMN,86.68,68.94
2016,10,17,NRMN,88.56,72.34
2016,10,18,NRMN,81.18,61.32
2016,10,19,NRMN,85.24,58.64
2016,10,20,NRMN,70.12,46.24
2016,10,21,NRMN,70.29,39.37
2016,10,22,NRMN,78.03,48.85
2016,10,23,NRMN,77.31,54.64
2016,10,24,NRMN,81.59,56.01
2016,10,25,NRMN,79.56,62.04
