"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,1,18,WOOD,37.72,18.62
2016,1,19,ARD2,56.77,29.54
2016,1,19,BEAV,36.56,19.01
2016,1,19,BOIS,47.19,22.03
2016,1,19,CENT,43.48,24.13
2016,1,19,NRMN,51.87,28.13
2016,1,19,STIL,39.52,27.33
2016,1,19,TISH,48.90,30.48
2016,1,19,TULN,37.19,27.12
2016,1,19,WOOD,32.49,22.74
2016,1,20,ARD2,40.60,32.04
2016,1,20,BEAV,55.74,13.71
2016,1,20,BOIS,58.60,22.34
2016,1,20,CENT,38.04,29.25
2016,1,20,NRMN,39.61,28.61
2016,1,20,STIL,32.22,27.03
2016,1,20,TISH,37.98,31.73
2016,1,20,TULN,33.00,26.60
2016,1,20,WOOD,41.46,17.58
2016,1,21,ARD2,40.74,34.51
2016,1,21,BEAV,40.32,17.11
2016,1,21,BOIS,44.63,21.74
2016,1,21,CENT,38.86,33.41
2016,1,21,NRMN,36.29,31.72
2016,1,21,STIL,34.71,30.62
2016,1,21,TISH,39.88,33.26
2016,1,21,TULN,36.54,29.37
2016,1,21,WOOD,34.99,19.52
2016,1,22,ARD2,42.33,29.76
2016,1,22,BEAV,35.35,13.86
2016,1,22,BOIS,52.09,18.10
2016,1,22,CENT,42.80,27.52
2016,1,22,NRMN,33.75,27.40
2016,1,22,STIL,30.75,25.04
2016,1,22,TISH,42.12,28.15
2016,1,22,TULN,37.62,24.01
2016,1,22,WOOD,34.40,22.49
2016,1,23,ARD2,47.82,26.85
2016,1,23,BEAV,55.63,16.03
2016,1,23,BOIS,63.27,23.71
2016,1,23,CENT,46.34,26.60
2016,1,23,NRMN,47.39,25.72
2016,1,23,STIL,46.18,26.33
2016,1,23,TISH,45.45,26.14
2016,1,23,TULN,42.72,27.95
2016,1,23,WOOD,46.78,21.75
2016,1,24,ARD2,59.95,36.10
2016,1,24,BEAV,73.06,21.52
2016,1,24,BOIS,66.92,28.79
2016,1,24,CENT,58.98,32.70
2016,1,24,NRMN,61.05,35.56
2016,1,24,STIL,61.39,35.38
2016,1,24,TISH,57.85,29.72
2016,1,24,TULN,56.93,35.83
2016,1,24,WOOD,67.03,31.35
2016,1,25,ARD2,59.94,39.29
2016,1,25,BEAV,50.50,22.65
2016,1,25,BOIS,47.61,23.89
2016,1,25,CENT,58.89,34.83
2016,1,25,NRMN,54.43,34.21
2016,1,25,STIL,53.15,28.29
2016,1,25,TISH,58.12,35.67
2016,1,25,TULN,52.68,36.13
2016,1,25,WOOD,51.84,30.87
2016,1,26,ARD2,51.60,31.98
2016,1,26,BEAV,50.02,17.87
2016,1,26,BOIS,46.15,18.08
2016,1,26,CENT,51.37,25.87
2016,1,26,NRMN,49.73,25.95
2016,1,26,STIL,49.59,22.47
2016,1,26,TISH,51.24,28.91
2016,1,26,TULN,51.33,30.00
2016,1,26,WOOD,49.95,21.48
2016,1,27,ARD2,55.72,25.71
2016,1,27,BEAV,58.64,15.46
2016,1,27,BOIS,58.80,19.25
2016,1,27,CENT,56.64,19.18
2016,1,27,NRMN,57.87,21.39
2016,1,27,STIL,58.84,18.66
2016,1,27,TISH,55.69,23.93
2016,1,27,TULN,57.29,23.57
2016,1,27,WOOD,58.37,26.59
2016,1,28,ARD2,67.84,30.30
2016,1,28,BEAV,67.78,20.80
2016,1,28,BOIS,63.14,23.04
2016,1,28,CENT,67.91,26.26
2016,1,28,NRMN,67.80,29.92
2016,1,28,STIL,64.71,27.15
2016,1,28,TISH,66.85,26.63
2016,1,28,TULN,65.46,34.69
2016,1,28,WOOD,67.48,29.48
2016,1,29,ARD2,75.43,41.63
2016,1,29,BEAV,75.31,21.49
2016,1,29,BOIS,67.87,29.34
2016,1,29,CENT,74.34,30.84
2016,1,29,NRMN,76.14,41.75
2016,1,29,STIL,76.37,27.03
2016,1,29,TISH,73.81,32.49
2016,1,29,TULN,75.00,33.54
2016,1,29,WOOD,72.66,42.78
2016,1,30,ARD2,72.77,37.32
2016,1,30,BEAV,73.92,23.27
2016,1,30,BOIS,71.74,25.44
2016,1,30,CENT,71.92,32.81
2016,1,30,NRMN,75.24,33.76
2016,1,30,STIL,75.29,31.91
2016,1,30,TISH,70.81,37.22
2016,1,30,TULN,70.86,38.93
2016,1,30,WOOD,76.55,28.89
2016,1,31,ARD2,63.45,46.16
2016,1,31,BEAV,54.97,30.29
2016,1,31,BOIS,48.15,24.85
2016,1,31,CENT,66.09,44.50
2016,1,31,NRMN,62.46,39.35
2016,1,31,STIL,63.77,38.68
2016,1,31,TISH,65.62,45.95
2016,1,31,TULN,63.84,45.25
2016,1,31,WOOD,62.42,35.38
2016,2,1,ARD2,68.14,38.54
2016,2,1,BEAV,50.49,21.21
2016,2,1,BOIS,42.40,24.85
2016,2,1,CENT,68.18,32.84
2016,2,1,NRMN,66.61,35.57
2016,2,1,STIL,63.14,31.94
2016,2,1,TISH,67.01,38.55
2016,2,1,TULN,65.01,36.35
2016,2,1,WOOD,54.57,27.55
2016,2,2,ARD2,63.61,38.00
2016,2,2,BEAV,35.67,22.17
2016,2,2,BOIS,32.64,20.55
2016,2,2,CENT,65.05,38.27
2016,2,2,NRMN,52.74,34.28
2016,2,2,STIL,51.35,36.51
2016,2,2,TISH,63.03,37.58
2016,2,2,TULN,59.05,37.16
2016,2,2,WOOD,41.20,30.81
2016,2,3,ARD2,46.89,29.46
2016,2,3,BEAV,41.36,16.95
2016,2,3,BOIS,34.14,12.06
2016,2,3,CENT,49.08,24.03
2016,2,3,NRMN,42.85,28.68
2016,2,3,STIL,42.51,28.99
2016,2,3,TISH,47.01,26.50
2016,2,3,TULN,44.41,29.58
2016,2,3,WOOD,43.92,22.51
2016,2,4,ARD2,51.39,25.62
2016,2,4,BEAV,48.51,14.27
2016,2,4,BOIS,44.20,7.03
2016,2,4,CENT,51.78,18.24
2016,2,4,NRMN,50.04,22.47
2016,2,4,STIL,49.77,20.68
2016,2,4,TISH,51.62,23.03
2016,2,4,TULN,50.74,23.81
2016,2,4,WOOD,49.15,17.69
2016,2,5,ARD2,56.26,28.57
2016,2,5,BEAV,44.07,21.89
2016,2,5,BOIS,41.07,17.10
2016,2,5,CENT,56.61,23.84
2016,2,5,NRMN,55.47,33.74
2016,2,5,STIL,56.10,25.48
2016,2,5,TISH,55.74,22.33
2016,2,5,TULN,56.84,29.90
2016,2,5,WOOD,49.69,27.57
2016,2,6,ARD2,52.84,35.22
2016,2,6,BEAV,56.01,18.57
2016,2,6,BOIS,56.68,14.23
2016,2,6,CENT,56.34,33.94
2016,2,6,NRMN,51.49,37.92
2016,2,6,STIL,51.30,33.12
2016,2,6,TISH,53.47,35.53
2016,2,6,TULN,55.09,37.78
2016,2,6,WOOD,54.73,21.59
2016,2,7,ARD2,62.89,32.83
2016,2,7,BEAV,56.07,23.55
2016,2,7,BOIS,52.41,18.39
